metric,before_value,after_value,change_pct,unit,notes
求解成功率,100.0,100.0,0.00,pct,120/120 Q2 and Q3 all optimal
绿电全满足场景数,47,85,+80.85,个场景,Q3连续调节显著提升绿电合规率
绿电全满足场景占比,39.17,70.83,+80.84,pct,85/120=70.83%
绿电部分满足场景数,65,35,-46.15,个场景,部分满足场景减少
绿电全不满足场景数,8,0,-100.00,个场景,全不满足场景完全消除
全年加权平均吨氨成本,6162.91,6027.50,-2.20,yuan/ton,加权平均成本下降135.4元/吨
平均吨氨成本(算术),5942.56,5811.02,-2.21,yuan/ton,算术平均下降131.5元/吨
平均绿电惩罚,1983,14093,+610.7,yuan,分布右偏-75%场景零惩罚
最大绿电惩罚,259077,400273,+54.5,yuan,个别场景惩罚较高
吨氨成本最小值,1433.05,1436.65,+0.25,yuan/ton,最低成本基本持平
吨氨成本最大值,9335.82,9335.82,0.00,yuan/ton,最高成本场景一致
